combination_id,ft_work_value,pt_work_value,unemployed_value,partner_retired_value,children_value,log_likelihood,disutil_ft_work_good_women,disutil_ft_work_bad_women,disutil_pt_work_good_women,disutil_pt_work_bad_women,disutil_unemployed_good_women,disutil_unemployed_bad_women,disutil_partner_retired_women,disutil_children_ft_work_low,disutil_children_ft_work_high
103,0.5,0.1,0.9,0.5,0.5,141923.52571680583,0.5,0.5,0.1,0.1,0.9,0.9,0.5,0.5,0.5
104,0.5,0.1,0.9,0.5,0.9,189492.0155608901,0.5,0.5,0.1,0.1,0.9,0.9,0.5,0.9,0.9
105,0.5,0.1,0.9,0.9,0.1,97926.55099903067,0.5,0.5,0.1,0.1,0.9,0.9,0.9,0.1,0.1
106,0.5,0.1,0.9,0.9,0.5,144598.553181873,0.5,0.5,0.1,0.1,0.9,0.9,0.9,0.5,0.5
107,0.5,0.1,0.9,0.9,0.9,192167.97615553607,0.5,0.5,0.1,0.1,0.9,0.9,0.9,0.9,0.9
108,0.5,0.5,0.1,0.1,0.1,75433.48085649559,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1
109,0.5,0.5,0.1,0.1,0.5,116996.67022113857,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.5,0.5
110,0.5,0.5,0.1,0.1,0.9,163569.35126204963,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.9,0.9
111,0.5,0.5,0.1,0.5,0.1,79824.55990468041,0.5,0.5,0.5,0.5,0.1,0.1,0.5,0.1,0.1
112,0.5,0.5,0.1,0.5,0.5,121365.86895657523,0.5,0.5,0.5,0.5,0.1,0.1,0.5,0.5,0.5
113,0.5,0.5,0.1,0.5,0.9,167933.6264191494,0.5,0.5,0.5,0.5,0.1,0.1,0.5,0.9,0.9
114,0.5,0.5,0.1,0.9,0.1,83257.91655091115,0.5,0.5,0.5,0.5,0.1,0.1,0.9,0.1,0.1
115,0.5,0.5,0.1,0.9,0.5,124823.50229699031,0.5,0.5,0.5,0.5,0.1,0.1,0.9,0.5,0.5
116,0.5,0.5,0.1,0.9,0.9,171390.2060480483,0.5,0.5,0.5,0.5,0.1,0.1,0.9,0.9,0.9
117,0.5,0.5,0.5,0.1,0.1,39555.640990549364,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1
118,0.5,0.5,0.5,0.1,0.5,71977.74501378188,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.5,0.5
119,0.5,0.5,0.5,0.1,0.9,117402.19962963206,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.9,0.9
120,0.5,0.5,0.5,0.5,0.1,39516.08718752544,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1
121,0.5,0.5,0.5,0.5,0.5,72131.22422552905,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
122,0.5,0.5,0.5,0.5,0.9,117585.05034297984,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9
123,0.5,0.5,0.5,0.9,0.1,42536.107859018004,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.1,0.1
124,0.5,0.5,0.5,0.9,0.5,75298.77019104417,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.5
125,0.5,0.5,0.5,0.9,0.9,120777.7287671137,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.9
126,0.5,0.5,0.9,0.1,0.1,54049.334017122,0.5,0.5,0.5,0.5,0.9,0.9,0.1,0.1,0.1
127,0.5,0.5,0.9,0.1,0.5,86446.0123470603,0.5,0.5,0.5,0.5,0.9,0.9,0.1,0.5,0.5
